"keys","ru","en"
"[E] Вымыть пол","[E] Вымыть пол","[E] Mop the floor"
"[E] Вытереть разлитую воду","[E] Вытереть разлитую воду","[E] Mop up the spilled water"
"[E] Закрыть дверь","[E] Закрыть дверь","[E] Close the door"
"[E] Закрыть форточку","[E] Закрыть форточку","[E] Close the window vent"
"[E] Заменить пробки","[E] Заменить пробки","[E] Replace the fuses"
"[E] Заперто","[E] Заперто","[E] Locked"
"[E] Заполнить журнал дежурства","[E] Заполнить журнал дежурства","[E] Fill in the duty log"
"[E] Заполнить свидетельство","[E] Заполнить свидетельство","[E] Fill in the certificate"
"[E] Нажать аварийную кнопку","[E] Нажать аварийную кнопку","[E] Press the emergency button"
"[E] Нужны вязки из настенного шкафа в медскладе","[E] Нужны вязки из настенного шкафа в медскладе","[E] You need the restraints from the wall cabinet in the supply room"
"[E] Обработать руки","[E] Обработать руки","[E] Disinfect your hands"
"[E] Опустить и включить лампу","[E] Опустить и включить лампу","[E] Lower and switch on the lamp"
"[E] Осмотреть","[E] Осмотреть","[E] Examine"
"[E] Осмотреть индикатор лифта","[E] Осмотреть индикатор лифта","[E] Examine the lift indicator"
"[E] Осмотреть медицинскую тележку","[E] Осмотреть медицинскую тележку","[E] Examine the medical trolley"
"[E] Осмотреть панель сигнализации","[E] Осмотреть панель сигнализации","[E] Examine the alarm panel"
"[E] Осмотреть полог карантина","[E] Осмотреть полог карантина","[E] Examine the quarantine curtain"
"[E] Осмотреть следы","[E] Осмотреть следы","[E] Examine the footprints"
"[E] Осмотреть тапки","[E] Осмотреть тапки","[E] Examine the slippers"
"[E] Ответить на звонок","[E] Ответить на звонок","[E] Answer the phone"
"[E] Отдохнуть за компьютером и восстановить рассудок","[E] Отдохнуть за компьютером и восстановить рассудок","[E] Rest at the computer and recover your mind"
"[E] Откатить каталку к лифту","[E] Откатить каталку к лифту","[E] Wheel the gurney to the lift"
"[E] Открыть дверь","[E] Открыть дверь","[E] Open the door"
"[E] Открыть журнал","[E] Открыть журнал","[E] Open the journal"
"[E] Отпереть дверь без номера","[E] Отпереть дверь без номера","[E] Unlock the door with no number"
"[E] Пожарный выход","[E] Пожарный выход","[E] Fire exit"
"[E] Посмотреть на часы","[E] Посмотреть на часы","[E] Look at the clock"
"[E] Проверить ведро и швабру","[E] Проверить ведро и швабру","[E] Check the bucket and mop"
"[E] Проверить пломбу пожарного выхода","[E] Проверить пломбу пожарного выхода","[E] Check the seal on the fire exit"
"[E] Прочитать записку","[E] Прочитать записку","[E] Read the note"
"[E] Прочитать карточку","[E] Прочитать карточку","[E] Read the chart"
"[E] Прочитать назначения и список пациентов","[E] Прочитать назначения и список пациентов","[E] Read the orders and the patient list"
"[E] Сбить огонь в кабельном коробе","[E] Сбить огонь в кабельном коробе","[E] Put out the fire in the cable duct"
"[E] Сверить таблицу групп","[E] Сверить таблицу групп","[E] Check the blood group table"
"[E] Связать буйного пациента вязками","[E] Связать буйного пациента вязками","[E] Restrain the violent patient"
"[E] Сдать грязное бельё","[E] Сдать грязное бельё","[E] Hand in the soiled linen"
"[E] Стравить воздух из батареи","[E] Стравить воздух из батареи","[E] Bleed the radiator"
"[E] Телефон","[E] Телефон","[E] Telephone"
"[E] Убрать стул с прохода","[E] Убрать стул с прохода","[E] Move the chair out of the way"
"[E] Увести пациента в палату","[E] Увести пациента в палату","[E] Walk the patient back to the room"
"[ДЕЙСТВИЕ]","[ДЕЙСТВИЕ]","[ACTION]"
"«Тогда один лишний». Линия оборвалась.","«Тогда один лишний». Линия оборвалась.","""Then one of them is extra."" The line went dead."
"А вы кто?","А вы кто?","And who are you?"
"АВАРИЯ В ДУШЕВОЙ","АВАРИЯ В ДУШЕВОЙ","EMERGENCY IN THE SHOWERS"
"АВАРИЯ: буйный пациент сорвал кран в душевой. Возьмите швабру в служебной.","АВАРИЯ: буйный пациент сорвал кран в душевой. Возьмите швабру в служебной.","EMERGENCY: the violent patient tore the tap off in the showers. Fetch the mop from the service room."
"Аварийный фонарь горит. Коридор снова видно.","Аварийный фонарь горит. Коридор снова видно.","The emergency lamp is lit. The corridor is visible again."
"Аминазин","Аминазин","Aminazine"
"БУЙНЫЙ ПАЦИЕНТ НАПАЛ! Возьмите ВЯЗКИ в открытом настенном шкафу в МЕДСКЛАДЕ.","БУЙНЫЙ ПАЦИЕНТ НАПАЛ! Возьмите ВЯЗКИ в открытом настенном шкафу в МЕДСКЛАДЕ.","THE VIOLENT PATIENT IS ATTACKING! Take the RESTRAINTS from the open wall cabinet in the SUPPLY ROOM."
"БУЙНЫЙ ПАЦИЕНТ НАПАЛ! Вязки уже у вас — подойдите ближе и нажмите E.","БУЙНЫЙ ПАЦИЕНТ НАПАЛ! Вязки уже у вас — подойдите ближе и нажмите E.","THE VIOLENT PATIENT IS ATTACKING! You already have the restraints — get closer and press E."
"Батареи холодные. Ключ для стравливания — в служебной.","Батареи холодные. Ключ для стравливания — в служебной.","The radiators are cold. The bleed key is in the service room."
"Без назначения брать препараты нельзя. Сначала ответьте на звонок.","Без назначения брать препараты нельзя. Сначала ответьте на звонок.","You may not take drugs without an order. Answer the phone first."
"Бельё заменено. Отнесите грязный комплект в корзину санитарной комнаты.","Бельё заменено. Отнесите грязный комплект в корзину санитарной комнаты.","Linen changed. Take the soiled set to the basket in the utility room."
"Бестеневая лампа горит над кушеткой. Под ней уже расстелена клеёнка.","Бестеневая лампа горит над кушеткой. Под ней уже расстелена клеёнка.","The surgical lamp burns over the couch. An oilcloth is already spread beneath it."
"Бикс вскрыт до вас. Инструменты внутри в бурых разводах.","Бикс вскрыт до вас. Инструменты внутри в бурых разводах.","The drum was opened before you. The instruments inside are streaked brown."
"Бикс вскрыт. Индикаторная лента не изменила цвет — его не кипятили.","Бикс вскрыт. Индикаторная лента не изменила цвет — его не кипятили.","The drum is open. The indicator tape has not changed colour — it was never sterilised."
"Браслет совпал с карточкой: Климова Т. С., палата 6.","Браслет совпал с карточкой: Климова Т. С., палата 6.","The wristband matches the chart: Klimova T. S., room 6."
"Буйный пациент догнал вас в коридоре.

Утром тележку нашли опрокинутой, а в журнале дежурств появилась новая строка.","Буйный пациент догнал вас в коридоре.

Утром тележку нашли опрокинутой, а в журнале дежурств появилась новая строка.","The violent patient caught you in the corridor.

In the morning the trolley was found overturned, and a new line had appeared in the duty log."
"В 04:00 экстренная операция. Прокипятить инструменты,
вскрыть бикс, поднять лампу и подготовить Савельева.","В 04:00 экстренная операция. Прокипятить инструменты,
вскрыть бикс, поднять лампу и подготовить Савельева.","Emergency surgery at 04:00. Boil the instruments,
open the drum, raise the lamp and prep Savelyev."
"В 05:00 обход главной медсестры. Коридор должен быть чист,
журнал заполнен, пломбы целы. Она видит всё.","В 05:00 обход главной медсестры. Коридор должен быть чист,
журнал заполнен, пломбы целы. Она видит всё.","The head nurse does her round at 05:00. The corridor must be clear,
the log filled in, the seals intact. She sees everything."
"В МЕНЮ","В МЕНЮ","TO THE MENU"
"В верхнем ящике пусто. На дне лежит чужой ключ.","В верхнем ящике пусто. На дне лежит чужой ключ.","The top drawer is empty. A key that is not yours lies at the bottom."
"В журнале чужой почерк. Буквы ваши.","В журнале чужой почерк. Буквы ваши.","The handwriting in the log is not yours. The letters are."
"В конце коридора кто-то стоит. Вы моргнули — никого.","В конце коридора кто-то стоит. Вы моргнули — никого.","Someone is standing at the end of the corridor. You blink — no one."
"В коридоре заскрипели колёса синего ведра.","В коридоре заскрипели колёса синего ведра.","The wheels of the blue bucket creak in the corridor."
"В палате 6 три силуэта. Коек по-прежнему две.","В палате 6 три силуэта. Коек по-прежнему две.","There are three silhouettes in room 6. There are still two beds."
"В простенке между палатами 3 и 4 стоит дверь. Без номера.","В простенке между палатами 3 и 4 стоит дверь. Без номера.","There is a door in the wall between rooms 3 and 4. With no number."
"В процедурной работают. Дверь заперта изнутри.","В процедурной работают. Дверь заперта изнутри.","Someone is working in the treatment room. The door is locked from the inside."
"В трубке слышно дыхание. Затем линия обрывается.","В трубке слышно дыхание. Затем линия обрывается.","There is breathing in the receiver. Then the line cuts out."
"ВЫ ПОГИБЛИ","ВЫ ПОГИБЛИ","YOU DIED"
"ВЫЙТИ","ВЫЙТИ","QUIT"
"Ведро снова неподвижно.","Ведро снова неподвижно.","The bucket is still again."
"Верните пациента в палату","Верните пациента в палату","Take the patient back to the room"
"Взято: %s.","Взято: %s.","Taken: %s."
"Взято: %s. Проверьте фамилию, палату и кровать.","Взято: %s. Проверьте фамилию, палату и кровать.","Taken: %s. Check the name, the room and the bed."
"Взято: %s. Сверьте назначение — ошибка опасна.","Взято: %s. Сверьте назначение — ошибка опасна.","Taken: %s. Check it against the order — a mistake is dangerous."
"Взяты вязки из настенного шкафа в медскладе. Подойдите к буйному пациенту и нажмите E.","Взяты вязки из настенного шкафа в медскладе. Подойдите к буйному пациенту и нажмите E.","Restraints taken from the wall cabinet in the supply room. Walk up to the violent patient and press E."
"Включите аварийный фонарь.","Включите аварийный фонарь.","Switch on the emergency lamp."
"Вода в синем ведре тихо плеснула.","Вода в синем ведре тихо плеснула.","The water in the blue bucket slapped quietly."
"Вода убрана. В сливе остался длинный чёрный волос.","Вода убрана. В сливе остался длинный чёрный волос.","The water is cleared. A long black hair is left in the drain."
"Воздух вышел с шипением. Батарея понемногу теплеет.","Воздух вышел с шипением. Батарея понемногу теплеет.","The air hissed out. The radiator is slowly warming up."
"Возьмите «%s» в %s.
Пациент: %s — %s","Возьмите «%s» в %s.
Пациент: %s — %s","Fetch ""%s"" from %s.
Patient: %s — %s"
"Возьмите мазок","Возьмите мазок","Take the swab"
"Войдите в карантин в маске","Войдите в карантин в маске","Enter quarantine wearing a mask"
"Восстановите рассудок за компьютером в ОРДИНАТОРСКОЙ.","Восстановите рассудок за компьютером в ОРДИНАТОРСКОЙ.","Recover your mind at the computer in the DOCTORS' ROOM."
"Врачебная ошибка зарегистрирована. Главная медсестра идёт по коридору. Синий взгляд отнимает рассудок — спрячьтесь в ОРДИНАТОРСКОЙ.","Врачебная ошибка зарегистрирована. Главная медсестра идёт по коридору. Синий взгляд отнимает рассудок — спрячьтесь в ОРДИНАТОРСКОЙ.","A medical error has been logged. The head nurse is coming down the corridor. Her blue gaze takes your mind — hide in the DOCTORS' ROOM."
"Все обязательные задачи выполнены. Смена завершается.","Все обязательные задачи выполнены. Смена завершается.","All required tasks are complete. The shift is ending."
"Все задачи выполнены. Доживите до 06:00.","Все задачи выполнены. Доживите до 06:00.","All tasks are done. Live until 06:00."
"Все семеро лежат с открытыми глазами и смотрят на вас.","Все семеро лежат с открытыми глазами и смотрят на вас.","All seven lie with their eyes open, looking at you."
"Все форточки распахнуты одновременно.","Все форточки распахнуты одновременно.","Every vent is thrown open at once."
"Вскройте стерильный бикс.","Вскройте стерильный бикс.","Open the sterilisation drum."
"Второе одеяло","Второе одеяло","Second blanket"
"Второе одеяло подоткнуто. Морозов холодный на ощупь.","Второе одеяло подоткнуто. Морозов холодный на ощупь.","The second blanket is tucked in. Morozov is cold to the touch."
"Вы взяли швабру и ведро из служебной комнаты.","Вы взяли швабру и ведро из служебной комнаты.","You take the mop and bucket from the service room."
"Вы не устали. Экран компьютера тихо гудит.","Вы не устали. Экран компьютера тихо гудит.","You are not tired. The computer screen hums quietly."
"Вы перепутали пациента или препарат. Ночная смена закончилась до рассвета.","Вы перепутали пациента или препарат. Ночная смена закончилась до рассвета.","You mixed up a patient or a drug. The night shift ended before dawn."
"Вы перепутали пациента. На браслете написано: %s.","Вы перепутали пациента. На браслете написано: %s.","You have the wrong patient. The wristband reads: %s."
"Вы перестали отличать пациентов от тех, кого нет в журнале.

Утром на посту нашли аккуратно заполненную карточку: ваша фамилия, палата 0.","Вы перестали отличать пациентов от тех, кого нет в журнале.

Утром на посту нашли аккуратно заполненную карточку: ваша фамилия, палата 0.","You stopped telling the patients apart from the ones who are not in the journal.

In the morning a neatly filled-in chart was found at the station: your surname, room 0."
"Вы садитесь за компьютер в ординаторской. Белая пелена понемногу отступает...","Вы садитесь за компьютер в ординаторской. Белая пелена понемногу отступает...","You sit down at the computer in the doctors' room. The white haze slowly draws back..."
"Вы слишком долго оставались на линии взгляда санитарки.

Нужно было закрыть дверь и спрятаться в помещении.","Вы слишком долго оставались на линии взгляда санитарки.

Нужно было закрыть дверь и спрятаться в помещении.","You stayed in the orderly's line of sight for too long.

You should have shut the door and hidden in a room."
"Вымойте пол в коридоре.","Вымойте пол в коридоре.","Mop the corridor floor."
"Выполните назначение с доски дежурств.","Выполните назначение с доски дежурств.","Complete the assignment from the duty board."
"Выполните назначение по телефону.","Выполните назначение по телефону.","Carry out the order you were given on the phone."
"Вытерите воду. %s","Вытерите воду. %s","Mop up the water. %s"
"Генератор заглох. Остался только ваш фонарик.","Генератор заглох. Остался только ваш фонарик.","The generator has died. Only your torch is left."
"Главная медсестра закончила проверку и уходит.","Главная медсестра закончила проверку и уходит.","The head nurse has finished her inspection and is leaving."
"Главная медсестра нашла ошибку в назначении.

От её синего взгляда можно было укрыться только в ординаторской.","Главная медсестра нашла ошибку в назначении.

От её синего взгляда можно было укрыться только в ординаторской.","The head nurse found an error in the orders.

There was only one place to hide from her blue gaze: the doctors' room."
"Главная медсестра ушла. Восстановите рассудок за компьютером в ОРДИНАТОРСКОЙ.","Главная медсестра ушла. Восстановите рассудок за компьютером в ОРДИНАТОРСКОЙ.","The head nurse is gone. Recover your mind at the computer in the DOCTORS' ROOM."
"Горячий чай","Горячий чай","Hot tea"
"Грязное бельё","Грязное бельё","Soiled linen"
"Грязное бельё сдано. Комплект Морозова заменён правильно.","Грязное бельё сдано. Комплект Морозова заменён правильно.","The soiled linen is handed in. Morozov's set was changed correctly."
"ДВЕРЬ БЕЗ НОМЕРА","ДВЕРЬ БЕЗ НОМЕРА","THE DOOR WITH NO NUMBER"
"ДЕЙСТВИЕ","ДЕЙСТВИЕ","ACTION"
"ДОКУМЕНТ ОТДЕЛЕНИЯ","ДОКУМЕНТ ОТДЕЛЕНИЯ","WARD DOCUMENT"
"ДЫМ","ДЫМ","SMOKE"
"Дайте горячий чай","Дайте горячий чай","Give the hot tea"
"Дайте назначенный препарат","Дайте назначенный препарат","Give the prescribed drug"
"Дежурство окончено. Можете уходить.","Дежурство окончено. Можете уходить.","Your shift is over. You may go."
"Демина В. Р.","Демина В. Р.","Demina V. R."
"Демина не переживёт эту ночь. Констатировать, оформить
свидетельство, упаковать и свезти вниз на лифте.","Демина не переживёт эту ночь. Констатировать, оформить
свидетельство, упаковать и свезти вниз на лифте.","Demina will not survive this night. Pronounce her, fill in
the certificate, bag her and take her down in the lift."
"Демина снова в своей кровати. Одеяло подоткнуто.","Демина снова в своей кровати. Одеяло подоткнуто.","Demina is back in her own bed. The blanket is tucked in."
"Дождитесь третьего звонка из палаты №4.","Дождитесь третьего звонка из палаты №4.","Wait for the third ring from room 4."
"Дождитесь финального звонка в 05:53.","Дождитесь финального звонка в 05:53.","Wait for the final call at 05:53."
"Доживите до 06:00.","Доживите до 06:00.","Live until 06:00."
"Дым втянуло обратно в решётку. Гарью больше не пахнет.","Дым втянуло обратно в решётку. Гарью больше не пахнет.","The smoke was drawn back into the grate. There is no smell of burning any more."
"Дым пошёл по потолку коридора.","Дым пошёл по потолку коридора.","Smoke is running along the corridor ceiling."
"ЕЩЁ ОДНА СМЕНА","ЕЩЁ ОДНА СМЕНА","ANOTHER SHIFT"
"ЖУРНАЛ ОТДЕЛЕНИЯ

1. Морозов И. П. — палата 1, кровать 1
2. Левченко А. Н. — палата 2, кровать 1
3. Орлова Н. Д. — палата 3, кровать 1
4. Савельев П. М. — палата 4, кровать 1
5. Демина В. Р. — палата 5, кровать 1
6. Юдин С. К. — палата 6, кровать 1
7. Климова Т. С. — палата 6, кровать 2","ЖУРНАЛ ОТДЕЛЕНИЯ

1. Морозов И. П. — палата 1, кровать 1
2. Левченко А. Н. — палата 2, кровать 1
3. Орлова Н. Д. — палата 3, кровать 1
4. Савельев П. М. — палата 4, кровать 1
5. Демина В. Р. — палата 5, кровать 1
6. Юдин С. К. — палата 6, кровать 1
7. Климова Т. С. — палата 6, кровать 2","WARD JOURNAL

1. Morozov I. P. — room 1, bed 1
2. Levchenko A. N. — room 2, bed 1
3. Orlova N. D. — room 3, bed 1
4. Savelyev P. M. — room 4, bed 1
5. Demina V. R. — room 5, bed 1
6. Yudin S. K. — room 6, bed 1
7. Klimova T. S. — room 6, bed 2"
"Журнал заполнен до 06:00. Почерк ровный, ваш.","Журнал заполнен до 06:00. Почерк ровный, ваш.","The log is filled in up to 06:00. The handwriting is steady, and it is yours."
"Журнал: палата 0, ваша фамилия, время поступления — сегодня.","Журнал: палата 0, ваша фамилия, время поступления — сегодня.","The journal: room 0, your surname, time of admission — today."
"ЗАКРЫТЬ","ЗАКРЫТЬ","CLOSE"
"ЗДОРОВЬЕ","ЗДОРОВЬЕ","HEALTH"
"За дверью не было палаты.
Только ещё один коридор и табличка: «ПАЛАТА 0».","За дверью не было палаты.
Только ещё один коридор и табличка: «ПАЛАТА 0».","There was no ward behind the door.
Only one more corridor and a sign: ""ROOM 0""."
"За дверями лифта кто-то ждёт.","За дверями лифта кто-то ждёт.","Someone is waiting behind the lift doors."
"За пожарной дверью оказался тот же коридор.
Потом ещё один. Часы всё ещё показывают 05:53.","За пожарной дверью оказался тот же коридор.
Потом ещё один. Часы всё ещё показывают 05:53.","Behind the fire door was the same corridor.
Then another one. The clock still reads 05:53."
"Завершите обязательные задачи смены.","Завершите обязательные задачи смены.","Complete the shift's required tasks."
"Завершите обязательные задачи; звонок необязателен.","Завершите обязательные задачи; звонок необязателен.","Complete the required tasks; answering the call is optional."
"Закройте форточку.","Закройте форточку.","Close the window vent."
"Замените пакет капельницы","Замените пакет капельницы","Replace the IV bag"
"Замените пробки в щитке западного крыла.","Замените пробки в щитке западного крыла.","Replace the fuses in the west wing panel."
"Запасные пробки","Запасные пробки","Spare fuses"
"Заполните журнал дежурства.","Заполните журнал дежурства.","Fill in the duty log."
"Заполните свидетельство на посту.","Заполните свидетельство на посту.","Fill in the certificate at the station."
"Из палаты 5 — длинный ровный писк. Демина В. Р.","Из палаты 5 — длинный ровный писк. Демина В. Р.","A long flat tone from room 5. Demina V. R."
"Из процедурной слышны крики и удары по металлу.","Из процедурной слышны крики и удары по металлу.","Shouting and blows on metal come from the treatment room."
"Из щитовой тянет гарью. Найти очаг, сбить огонь,
вскрыть пожарный выход и доложить по телефону.","Из щитовой тянет гарью. Найти очаг, сбить огонь,
вскрыть пожарный выход и доложить по телефону.","There is a smell of burning from the switch room. Find the source, put out the fire,
break the seal on the fire exit and report it by phone."
"Измерьте температуру","Измерьте температуру","Take the temperature"
"Изо рта идёт пар. В отделении минус.","Изо рта идёт пар. В отделении минус.","Your breath is steaming. It is below freezing in the ward."
"Инвентарь: %s","Инвентарь: %s","Carrying: %s"
"Инвентарь: пусто","Инвентарь: пусто","Carrying: nothing"
"Индикатор лифта загорелся: −1","Индикатор лифта загорелся: −1","The lift indicator lights up: −1"
"Индикатор лифта не горит. Вы не нажимали кнопку вызова.","Индикатор лифта не горит. Вы не нажимали кнопку вызова.","The lift indicator is dark. You never pressed the call button."
"КАРАНТИН","КАРАНТИН","QUARANTINE"
"КАТАЛКА","КАТАЛКА","THE GURNEY"
"КОМИССИЯ","КОМИССИЯ","THE INSPECTION"
"КРАСНЫЙ ВЗГЛЯД","КРАСНЫЙ ВЗГЛЯД","THE RED GAZE"
"Карточка: палата 0, койка 1. Фамилия ваша. Дата поступления — сегодня.","Карточка: палата 0, койка 1. Фамилия ваша. Дата поступления — сегодня.","The chart: room 0, bed 1. The surname is yours. Date of admission — today."
"Каталка в коридоре. Мешок расстёгнут и пуст.","Каталка в коридоре. Мешок расстёгнут и пуст.","The gurney is in the corridor. The bag is unzipped and empty."
"Каталка у лифта. Кнопка вызова уже нажата — не вами.","Каталка у лифта. Кнопка вызова уже нажата — не вами.","The gurney is at the lift. The call button is already pressed — not by you."
"Кислородная подушка","Кислородная подушка","Oxygen pillow"
"Климова Т. С.","Климова Т. С.","Klimova T. S."
"Ключ без бирки","Ключ без бирки","Key with no tag"
"Ключ для батарей","Ключ для батарей","Radiator key"
"Ключ подошёл. За дверью — тот же коридор, и в его конце снова эта дверь.","Ключ подошёл. За дверью — тот же коридор, и в его конце снова эта дверь.","The key fits. Beyond the door is the same corridor, and at its end this same door again."
"Кнопка вернулась в исходное положение.","Кнопка вернулась в исходное положение.","The button has come back out."
"Конец смены.","Конец смены.","End of shift."
"Констатируйте смерть","Констатируйте смерть","Pronounce the death"
"Кордиамин","Кордиамин","Cordiamine"
"Котельная встала, за окном минус пять. Батареи ледяные.
Стравить воздух, раздать одеяла, закрыть форточки.","Котельная встала, за окном минус пять. Батареи ледяные.
Стравить воздух, раздать одеяла, закрыть форточки.","The boiler house has stopped and it is minus five outside. The radiators are ice cold.
Bleed them, hand out blankets, close the vents."
"Красная кнопка утопилась в стену.","Красная кнопка утопилась в стену.","The red button sinks into the wall."
"Кровать 1 в палате 1 пуста. Одеяло откинуто.","Кровать 1 в палате 1 пуста. Одеяло откинуто.","Bed 1 in room 1 is empty. The blanket is thrown back."
"Кровать Морозова пуста, тапки стоят у пожарной двери.
Найти пациента и вернуть в палату до пересменки.","Кровать Морозова пуста, тапки стоят у пожарной двери.
Найти пациента и вернуть в палату до пересменки.","Morozov's bed is empty and his slippers stand by the fire door.
Find the patient and get him back to his room before the handover."
"Кровь I(0)","Кровь I(0)","Blood I(0)"
"Кровь II(A)","Кровь II(A)","Blood II(A)"
"Кровь III(B)","Кровь III(B)","Blood III(B)"
"Левченко А. Н.","Левченко А. Н.","Levchenko A. N."
"Левченко выпил чай до дна и попросил закрыть форточку.","Левченко выпил чай до дна и попросил закрыть форточку.","Levchenko drank the tea to the bottom and asked for the vent to be closed."
"Лекарство передано через полог. Маска не снималась.","Лекарство передано через полог. Маска не снималась.","The medicine went through the curtain. The mask never came off."
"Лифт поехал сам. Индикатор показывает −1.","Лифт поехал сам. Индикатор показывает −1.","The lift moved on its own. The indicator reads −1."
"Лифт пришёл пустой. Хирурга нет.","Лифт пришёл пустой. Хирурга нет.","The lift arrived empty. There is no surgeon."
"Лужа растекается. Нужны швабра и ведро из служебной комнаты.","Лужа растекается. Нужны швабра и ведро из служебной комнаты.","The pool is spreading. You need the mop and bucket from the service room."
"Мазок взят. Климова не разжала зубы — стекло достали из-под языка.","Мазок взят. Климова не разжала зубы — стекло достали из-под языка.","The swab is taken. Klimova never unclenched her teeth — the glass came out from under her tongue."
"Марлевая маска","Марлевая маска","Gauze mask"
"Между палатами 3 и 4 появилась дверь, которой нет на плане.
В журнале за неё расписана ваша фамилия.","Между палатами 3 и 4 появилась дверь, которой нет на плане.
В журнале за неё расписана ваша фамилия.","A door that is not on the plan has appeared between rooms 3 and 4.
In the journal your surname is signed against it."
"Морозов И. П.","Морозов И. П.","Morozov I. P."
"Морозов уложен обратно в палату 1. Он ни разу не моргнул.","Морозов уложен обратно в палату 1. Он ни разу не моргнул.","Morozov is back in bed in room 1. He did not blink once."
"НАЧАТЬ ДЕЖУРСТВО","НАЧАТЬ ДЕЖУРСТВО","BEGIN THE SHIFT"
"НАЧАТЬ СМЕНУ ЗАНОВО","НАЧАТЬ СМЕНУ ЗАНОВО","RESTART THE SHIFT"
"НОЧНОЕ ДЕЖУРСТВО","НОЧНОЕ ДЕЖУРСТВО","NIGHT DUTY"
